title,price_range,company,packing
Amoxicillin 735,47-62,Sanofi,injection 5ml
Cefixime 260,126-165,Sami Pharma,tablets
Panadol 873,39-50,Sami Pharma,capsules
Panadol 381,32-41,Abbott,syrup 100ml
Panadol 743,33-42,Various,soft gel
Paracetamol 182,23-32,GlaxoSmithKline,syrup 60ml
Amoxicillin 622,55-78,Sami Pharma,powder
Ibuprofen 676,23-46,Sanofi,syrup 60ml
Ciprofloxacin 224,50-88,Sami Pharma,powder
Ibuprofen 398,29-47,Sanofi,tablets
Azithromycin 964,86-125,Abbott,powder
Loratadine 697,32-52,Sami Pharma,injection 5ml
Ibuprofen 472,26-46,Pfizer,tablets
Panadol 854,43-50,Sanofi,soft gel
Panadol 565,34-41,Sami Pharma,powder
Azithromycin 796,83-135,Abbott,powder
Loratadine 400,27-43,Sami Pharma,tablets
Paracetamol 837,19-40,Sanofi,injection 5ml
Cefixime 134,128-157,Various,syrup 60ml
Azithromycin 566,88-140,Various,powder
Loratadine 662,25-41,GlaxoSmithKline,syrup 60ml
Cefixime 473,125-163,Abbott,capsules
Ibuprofen 672,27-43,Pfizer,capsules
Azithromycin 497,85-121,GlaxoSmithKline,injection 2ml
Paracetamol 637,21-31,Various,soft gel
Loratadine 641,32-40,Sami Pharma,tablets
Panadol 770,39-47,Sami Pharma,soft gel
Panadol 687,37-42,Getz Pharma,injection 5ml
Cefixime 377,123-157,Pfizer,injection 5ml
Cefixime 892,129-163,GlaxoSmithKline,soft gel
Ibuprofen 401,28-44,GlaxoSmithKline,powder
Loratadine 244,25-55,Various,injection 5ml
Ciprofloxacin 170,58-86,GlaxoSmithKline,injection 2ml
Cetirizine 507,22-35,Sanofi,tablets
Ibuprofen 214,27-43,Sanofi,capsules
Panadol 273,36-58,Getz Pharma,syrup 100ml
Azithromycin 930,84-126,GlaxoSmithKline,tablets
Amoxicillin 527,46-80,Sanofi,injection 5ml
Ciprofloxacin 764,54-71,Getz Pharma,injection 2ml
Ciprofloxacin 422,53-83,GlaxoSmithKline,tablets
Panadol 280,33-49,Pfizer,soft gel
Cetirizine 956,21-37,Getz Pharma,tablets
Paracetamol 486,20-32,Various,syrup 100ml
Cetirizine 623,18-34,Various,soft gel
Cetirizine 482,22-33,Sami Pharma,soft gel
Panadol 656,41-67,Getz Pharma,injection 5ml
Cetirizine 841,23-33,Sanofi,tablets
